Exoplanet,TIC ID,Products,Period,Epochs,RA,DEC,Distance
KELT-9 b,16740101,2,1.4811235,30,307.8598998,39.9389161,204.455
KELT-11 b,55092869,1,4.7361,5,161.7069053,-9.3993646,99.1596
KELT-12 b,116242971,2,5.031623,9,267.6404906,36.5701761,368.03
KELT-14 b,134537478,2,1.7100566,26,108.301409,-42.4097623,250.121
KELT-15 b,268644785,2,3.32944,14,117.4149764,-52.1204471,324.683
KELT-16 b,236445129,1,0.9689951,23,314.2685227,31.6610186,444.586
KELT-18 b,293687315,1,2.8717518,8,216.5238248,59.4442735,321.376
KELT-19 A b,425206121,1,4.6117093,5,111.5095293,7.6157759,300.276
KELT-20 b,69679391,1,3.4741085,7,294.6614126,31.2192001,136.426
KELT-23 A b,458478250,6,2.255251,59,232.1466406,66.3587097,126.261
KELT-24 b,349827430,3,5.5514926,12,161.9090273,71.655727,96.5173
KOI-12 b,169461816,2,17.855182,3,297.4537402,41.0110188,399.398
KOI-13 b,1717079071,1,1.763588,13,286.9713876,46.8682463,519.096
KOI-94 b,273231214,2,3.743208,12,297.3330716,41.8911186,477.052
KOI-94 c,273231214,2,10.423648,5,297.3330716,41.8911186,477.052
KOI-94 d,273231214,2,22.342989,2,297.3330716,41.8911186,477.052
KOI-94 e,273231214,2,54.32031,1,297.3330716,41.8911186,477.052
KOI-1783.01,159051209,2,134.4628,1,289.3414629,46.988155,865.73
KOI-1783.02,159051209,2,284.215,1,289.3414629,46.988155,865.73
KPS-1 b,99834717,1,1.706291,13,165.167198,64.9638452,262.706
Kepler-9 b,120571842,1,19.23891,2,285.5739904,38.4008192,628.257
Kepler-9 c,120571842,1,38.9853,1,285.5739904,38.4008192,628.257
Kepler-9 d,120571842,1,1.592851,14,285.5739904,38.4008192,628.257
Kepler-10 b,377780790,1,0.837491,27,285.679298,50.2414842,185.506
Kepler-10 c,377780790,1,45.2946,1,285.679298,50.2414842,185.506
Kepler-11 b,169175503,2,10.3039,5,297.1150949,41.9091092,646.346
Kepler-11 c,169175503,2,13.0241,4,297.1150949,41.9091092,646.346
Kepler-11 d,169175503,2,22.6845,2,297.1150949,41.9091092,646.346
Kepler-11 e,169175503,2,31.9996,2,297.1150949,41.9091092,646.346
Kepler-11 f,169175503,2,46.6888,1,297.1150949,41.9091092,646.346
Kepler-11 g,169175503,2,118.3807,1,297.1150949,41.9091092,646.346
Kepler-14 b,158561566,3,6.790123,10,287.708814,47.33305,798.0
Kepler-16 b,299096355,3,228.776,1,289.0758307,51.757229,75.0852
Kepler-18 b,273690178,2,3.504725,13,298.0794448,44.746248,433.047
Kepler-18 c,273690178,2,7.64159,6,298.0794448,44.746248,433.047
Kepler-18 d,273690178,2,14.85888,3,298.0794448,44.746248,433.047
Kepler-21 b,121214185,1,2.78578,8,287.3619673,38.7141384,108.522
Kepler-25 b,120960812,1,6.238297,4,286.6383905,39.4879038,243.249
Kepler-25 c,120960812,1,12.7207,2,286.6383905,39.4879038,243.249
Kepler-30 b,399794329,2,29.33434,2,285.2836483,38.9472625,914.221
Kepler-30 c,399794329,2,60.323105,1,285.2836483,38.9472625,914.221
Kepler-30 d,399794329,2,143.34394,1,285.2836483,38.9472625,914.221
Kepler-34 b,272369124,2,288.822,1,296.4358022,44.6415369,1800.82
