pl_name
55 Cnc e
BD+20 594 b
WASP-127 b
WASP-129 b
WASP-13 b
WASP-130 b
WASP-131 b
WASP-132 b
WASP-133 b
WASP-135 b
WASP-136 b
WASP-138 b
WASP-139 b
WASP-14 b
WASP-140 b
WASP-141 b
WASP-142 b
WASP-144 b
WASP-145 A b
WASP-147 b
WASP-148 b
WASP-15 b
WASP-150 b
WASP-151 b
WASP-153 b
WASP-156 b
WASP-157 b
WASP-158 b
WASP-159 b
WASP-16 b
WASP-160 B b
WASP-161 b
WASP-162 b
WASP-163 b
WASP-164 b
WASP-165 b
WASP-166 b
WASP-167 b
WASP-168 b
WASP-169 b
WASP-17 b
WASP-170 b
WASP-171 b
WASP-172 b
WASP-173 A b
WASP-174 b
WASP-175 b
WASP-176 b
WASP-177 b
WASP-178 b
WASP-18 b
WASP-180 A b
WASP-181 b
WASP-182 b
WASP-183 b
WASP-184 b
WASP-185 b
WASP-19 b
WASP-190 b
WASP-192 b
WASP-2 b
WASP-20 b
WASP-21 b
WASP-22 b
WASP-23 b
WASP-24 b
WASP-25 b
WASP-26 b
WASP-28 b
WASP-29 b
WASP-3 b
WASP-31 b
WASP-32 b
WASP-34 b
WASP-35 b
WASP-36 b
WASP-37 b
WASP-38 b
WASP-39 b
WASP-4 b
WASP-41 b
WASP-42 b
WASP-43 b
WASP-44 b
WASP-45 b
WASP-46 b
WASP-47 b
WASP-47 d
WASP-47 e
WASP-48 b
WASP-49 b
WASP-5 b
WASP-50 b
WASP-52 b
WASP-53 b
WASP-54 b
WASP-55 b
WASP-56 b
WASP-57 b
WASP-58 b
WASP-59 b
WASP-6 b
WASP-60 b
WASP-61 b
WASP-62 b
WASP-63 b
WASP-64 b
WASP-65 b
WASP-66 b
WASP-67 b
WASP-68 b
WASP-69 b
WASP-7 b
WASP-70 A b
WASP-71 b
WASP-72 b
WASP-73 b
WASP-74 b
WASP-75 b
WASP-76 b
WASP-77 A b
WASP-78 b
WASP-79 b
WASP-8 b
WASP-80 b
WASP-81 b
WASP-82 b
WASP-83 b
WASP-84 b
WASP-85 A b
WASP-88 b
WASP-89 b
WASP-90 b
WASP-91 b
WASP-92 b
WASP-93 b
WASP-94 A b
WASP-95 b
WASP-96 b
WASP-97 b
WASP-98 b
WASP-99 b
WTS-1 b
WTS-2 b
XO-1 b
XO-2 N b
XO-3 b
XO-4 b
XO-5 b
XO-6 b
XO-7 b
pi Men c
