Exoplanet,P,Perr,t0,t0err,a/r*,aerr,rp,rperr,inc,incerr,ecc,eccerr,w,werr,Date,Transits
K2-261 b,11.6336225203681,0.000108053771074,2457906.83821599,0.005991279468357,13.3202304857592,0.12524676616341,0.102209738041114,0.001402962838022,0.055418242232652,0.000448010267054,88.3046625125361,0.348007326928147,0.389948840039857,0.003865883693858,20-Jan-2021 22:24:29,
K2-97 b,8.40538576365185,0.000740583730548,2457142.07067424,0.006831284853602,4.05921699310208,0.039370800719195,0.082682380104244,0.001151848281266,0.025719221539945,0.001295386554065,85.3665588599041,0.821256667842922,0.221837020158282,0.002241333848806,21-Jan-2021 06:12:16,2
KELT-11 b,4.73595518922858,0.000109150493932,2458544.34756076,0.000380062568898,4.79840498989914,0.043280179001291,0.061514535105569,0.000828404641566,0.047051059326733,0.000116155605363,84.519462589218,0.260514967506029,0.010038228290101,9.98640875540503E-05,24-Jan-2021 11:12:31,5
KELT-3 b,2.70338622088716,2.95205337481172E-06,2456269.4983672,0.002857601056715,5.64264274066299,0.039262851595688,0.041001445829311,0.00049950645952,0.09476951371021,0.000177101470916,83.1730579847323,0.110553585160773,0.011606373543043,0.000116075527972,22-Jan-2021 10:39:45,9
Kepler-138 c,13.7809432025192,0.000363206632441,2455686.13515757,0.006470806878307,37.1076146701143,0.385885277940628,0.089519518837053,0.001291506355866,0.029229221698978,0.001488394196316,89.1726986818918,0.613159091556135,0.002995511475796,3.00715142402577E-05,24-Jan-2021 00:57:20,2
Kepler-14 b,6.78951367765821,9.23178415541688E-06,2454971.08416127,0.003498574782392,8.16601544463264,0.079657695191544,0.078002267479351,0.001089677324773,0.052409702939766,0.003090268423365,84.6624012609628,0.156520986817594,0,0,25-Jan-2021 05:45:29,12
Kepler-18 b,3.50472780328554,3.19295331783852E-05,2454966.5090699,0.003436289639914,9.37448966831377,0.092198877985308,0.044229877396768,0.000620368526923,0.018950455552414,0.001020720137547,85.0359713979661,0.630433116513874,0,0,25-Jan-2021 14:21:21,15
Kepler-21 b,2.7859005833824,2.92034263576174E-05,2456798.72346686,0.004650358236805,4.765060646794,0.048587829903847,0.041611102136845,0.000594285234544,0.00793742460727,0.000345457309411,86.4466589647043,0.80291099931744,0,0,21-Jan-2021 15:45:16,8
Kepler-65 c,5.8597643794461,0.000239630628683,2455703.40103539,0.006704405841269,10.2896745158872,0.098522291629208,0.069311483824704,0.000959602731759,0.015588079716042,0.000834180465401,91.3513452609467,0.900612975257755,0.003273151553078,3.40329119114181E-05,22-Jan-2021 11:50:46,5
Kepler-79 c,27.4019647937062,0.001757758479308,2455706.47529795,0.006765672414503,32.9601145060702,0.327503286692413,0.18405382775475,0.002594643851649,0.027067885088268,0.001415149282078,90.2229149464393,0.720604781079365,0,0,21-Jan-2021 18:40:30,2
Kepler-93 b,4.72673568418659,3.47017654407909E-05,2454967.92650101,0.005995557604855,12.5027558212772,0.121607269893823,0.053492164089162,0.00074621776257,0.016002475795388,0.000761977756874,89.7183959734529,0.607160765426934,0,0,24-Jan-2021 11:43:05,3
Qatar-5 b,2.8793228234237,1.16459298572546E-05,2457362.66575105,0.005716041619621,8.23704869852588,0.084251313754395,0.041945207202893,0.000600005461171,0.104342739731609,0.000833109325898,87.54567086852,0.23971926555361,0,0,21-Jan-2021 09:51:46,6
TOI-125 b,4.65314305012085,5.99640423097361E-05,2458355.35175723,0.001450837729516,12.7017529187275,0.128459019622124,0.050208723189567,0.000714099078991,0.026605386631217,4.72689209160411E-05,86.7496910540346,0.169515419682973,0.188844768146132,0.001847232332327,22-Jan-2021 00:20:43,17
