TIC ID,Products,Exoplanet
198516314,8,
198516864,8,
198538690,8,
198554875,8,
198555309,8,
198557730,8,
198558314,8,
199522110,8,
199522486,8,
199523459,8,
199524511,8,
199524888,8,
199524942,8,
199525708,8,
199525756,8,
199549110,8,
199549146,8,
199549199,8,
199571528,8,
199571608,8,
199572361,8,
199572409,8,
199610976,8,
199613601,8,
199614501,8,
199617847,8,
199633652,8,
199661489,8,
199661829,8,
199663702,8,
199665230,8,
199666911,8,
199667047,8,
199667131,8,
199684892,8,
199685885,8,
199686895,8,
199687979,8,
199708859,8,
199708915,8,
199709017,8,
199710422,8,
199714343,8,
199714345,8,
199715498,8,
202300296,8,
202352637,8,
202353086,8,
202511499,8,
207431956,8,
207435110,8,
207435197,8,
207441832,8,
207463446,8,
207463920,8,
207463935,8,
207466546,8,
207466598,8,
207467034,8,
207467070,8,
207467071,8,
207490389,8,
207490896,8,
207493501,8,
207496824,8,
207502432,8,
207502489,8,
207504489,8,
219097594,8,
219097728,8,
219098955,8,
219106366,8,
219112216,8,
219114107,8,
219117956,8,
219164846,8,
219171711,8,
219176544,8,
219194201,8,
219194399,8,
219200215,8,
219201178,8,
219369255,8,
219380533,8,
219380984,8,
219389540,8,
219393398,8,
219419486,8,
219734093,8,
219734109,8,
219739171,8,
219741953,8,
219744158,8,
219753273,8,
219773482,8,
219791669,8,
219791692,8,
219793483,8,
219815508,8,
219819539,8,
219850511,8,
219851795,8,
219853648,8,
219857791,8,
219862854,8,
219882262,8,
220392141,8,
220394516,8,
220395010,8,
220413881,8,
220414019,8,
220415474,8,
220417260,8,
220418709,8,
220420356,8,
220430912,8,
220437364,8,
220460183,8,
220472064,8,
220472655,8,
220475913,8,
220476158,8,
220476586,8,
220479565,8,
224602439,8,
224607491,8,
229455340,8,
229461186,8,
229473211,8,
229475021,8,
229476285,8,
229476372,8,
229477384,8,
229501164,8,
229502781,8,
229504445,8,
229508978,8,
229553083,8,
229553118,8,
229586161,8,
229586208,8,
229598750,8,
229612184,8,
229686460,8,
229707460,8,
229711859,8,
229738522,8,
229744770,8,
229764231,8,
229910746,8,
229964359,8,
230001679,8,
230011285,8,
230020132,8,
230058860,8,
230058912,8,
230058920,8,
230061010,8,11 UMi b
230065619,8,
230065783,8,
230066386,8,
230069059,8,
230072908,8,
230074954,8,
230085007,8,
230085095,8,
230087750,8,
230118661,8,
231074771,8,
231074806,8,
231724838,8,
231725565,8,
231810428,8,
231819720,8,
231820266,8,
231820749,8,
232635891,8,
232635922,8,
232635950,8,
232635986,8,
232642214,8,
232643999,8,
232647703,8,
233006203,8,
233044891,8,
233046175,8,
233050534,8,
233052755,8,
233059081,8,
233080216,8,
233085151,8,
233086505,8,
233088316,8,
233152526,8,
233193893,8,
233193894,8,
233208400,8,
233232236,8,
233238663,8,
233499348,8,
233499766,8,
233502010,8,
233526133,8,
233657298,8,
233680496,8,
233727335,8,
235710300,8,
235710322,8,
235711847,8,
235712030,8,
235713036,8,
235714568,8,
235715006,8,
235901535,8,
235903666,8,
235905576,8,
235928270,8,
235928353,8,
235928358,8,
235928417,8,
235929979,8,
235930678,8,
235931895,8,
235932523,8,
235932776,8,
235934066,8,
235934357,8,
235934617,8,
235936782,8,
235938401,8,
235940812,8,
235943205,8,
235945245,8,
235950050,8,
236712539,8,
236716097,8,
236759151,8,
236759909,8,
236760425,8,
236761202,8,
236791534,8,
236818058,8,
236901571,8,
236901679,8,
237100691,8,
237102124,8,
237103367,8,
237104308,8,
237105436,8,
237113272,8,
237200224,8,
237200979,8,
237201572,8,
237202447,8,
237202729,8,
237205996,8,
237209954,8,
237214269,8,
237215472,8,
237226677,8,
237238448,8,
237252705,8,
237254348,8,
237281662,8,
237281689,8,
237288833,8,
237289147,8,
237293455,8,
237294011,8,
237294768,8,
237294812,8,
237300455,8,
237300602,8,
237300769,8,
237302032,8,
237302104,8,
237305238,8,
237305341,8,
237306300,8,
237306451,8,
237307750,8,
237918270,8,
237918271,8,
237918394,8,
237921538,8,
237925364,8,
237926943,8,
237928609,8,
237928695,8,
237930092,8,
237930237,8,
237930662,8,
237930754,8,
237933356,8,
237933883,8,
237934011,8,
237936995,8,
238180751,8,
238187137,8,
238187678,8,
238189499,8,
238190798,8,
238192783,8,
238194241,8,
238197573,8,
238197946,8,
238202176,8,
238202391,8,
238226258,8,
238228648,8,
243299453,8,
243318224,8,
243318227,8,
243318299,8,
243318316,8,
243333864,8,
243333942,8,
243337598,8,
243337784,8,
243353504,8,
243353559,8,
255553520,8,
255560473,8,
255567307,8,
255759613,8,
255919762,8,
255919790,8,
255920067,8,
255994780,8,
255995475,8,
255996876,8,
256456773,8,
256514752,8,
256563717,8,
256617358,8,
256747336,8,
256749693,8,
256926364,8,
256926530,8,
256927410,8,
256929683,8,
257691239,8,
257691369,8,
257720239,8,
258394269,8,
258509996,8,
258512087,8,
258512225,8,
258514281,8,
258514285,8,
258515189,8,
258544655,8,
258546831,8,
258546982,8,
258547037,8,
258626558,8,
258627360,8,
258627931,8,
258630372,8,
258701920,8,
258801797,8,
258874967,8,
259003414,8,
259097673,8,
259131602,8,
260043798,8,
260130483,8,
260163081,8,
260190547,8,
260297869,8,
260415914,8,
260504551,8,
260656935,8,
260709484,8,
260952223,8,
261059467,8,
261059696,8,
261135668,8,
261155184,8,
261203183,8,
261257027,8,
261259521,8,
261264800,8,
261335113,8,
261335869,8,
262498404,8,
262575578,8,
262873951,8,
262881407,8,
262882919,8,
262884527,8,
262885414,8,
262921847,8,
262924920,8,
263971336,8,
264004931,8,
264298590,8,
268053147,8,
268053384,8,
269765059,8,
269792989,8,
269794957,8,
269794975,8,
270395860,8,
270491231,8,
270491267,8,
270491761,8,
270491865,8,
270492360,8,
270492569,8,
270494184,8,
270494569,8,
270507908,8,
270554742,8,
270557666,8,
270557837,8,
270558473,8,
270573651,8,
270573761,8,
270577858,8,
270627580,8,
270672809,8,
270677813,8,
271597374,8,
271640245,8,
271694860,8,
271794094,8,
271888549,8,
271973317,8,
271974161,8,
272002097,8,
272090787,8,
272131406,8,
272131560,8,
272131676,8,
272232315,8,
272317059,8,
272319846,8,
272319879,8,
272432010,8,
272433444,8,
272549430,8,
272637427,8,
272637516,8,
272637528,8,
272650398,8,
272650457,8,
272650576,8,
272651324,8,
272669737,8,
272669772,8,
272669792,8,
272670197,8,
272670678,8,
272671671,8,
272678605,8,
