Exoplanet,TIC ID,Period,Semi-Major Axis,Radius (J),Mass (E),Mass (J),Eccentricity,TTV Flag,Temperature (Star),Radius (Star),Mass (Star),Metallicity (Star),Logg (Star),Transit Mid Point,Transit Duration,Temperature Error (Star),Radius Error (Star),Metallicity Error (Star),Logg Error,Inclination,Periastron,Right Ascension,Declination,Galactic Lattitude,Galactic Longitude,Distance (pc),Parallax (mas),TESS Magnitude,Period Error,Transit Mid Point Error,Semi Major Axis Error,Planet Radius Error (J),Inclination Error,Periastron Error,Eccentricity Error,Archive,Transits,Date,Unbinned Sigma,Binned Sigma,Transit Depth,Sensitivity,Binned Sensitivity,Archive Used,Observation Depth,Observation Sensitivity,Binned Observation Sensitivity,Total Cadences
HD 160691 c,TIC 362661163,4205.8,5.235,1.2,576.519,1.814,0.0985,0,5807.0,1.38,1.08,0.302,4.37,,,30.0,0.05,0.006,0.05,,57.6,266.0361585,-51.8348751,-11.4985,340.05994,15.5981,64.0817,4.5071,758.9,,,,,43.7,0.0627,NASA,,,,,,,,,,,,
HD 160691 d,TIC 362661163,9.6386,0.09094,0.289,10.5547,0.03321,0.172,0,5813.0,1.38,1.08,0.302,4.25,,,40.0,0.05,0.006,0.07,,212.7,266.0361585,-51.8348751,-11.4985,340.05994,15.5981,64.0817,4.5071,0.0015,,,,,13.3,0.04,NASA,,,,,,,,,,,,
HD 160691 e,TIC 362661163,310.55,0.921,1.27,165.8685,0.5219,0.0666,0,5771.56,1.38,1.08,0.302,4.17,,,119.41,0.05,0.006,0.06,,189.6,266.0361585,-51.8348751,-11.4985,340.05994,15.5981,64.0817,4.5071,0.83,,,,,9.4,0.0122,NASA,,,,,,,,,,,,
HD 162004 b,,3117.0,4.43,,,,0.4,,6212.0,,1.19,0.01,,,,75.0,,0.06,,,64.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 162020 b,,8.428198,0.0756944,,,,0.277,,4844.67,0.526361,0.8,0.112024,4.90115,,,44.0,0.0276022,0.03,0.06,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
HD 162020 b,,8.428198,0.074,,,,0.277,,4830.0,0.71,0.75,0.01,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 162020 b,,8.428198,0.074,,,,0.277,,4830.0,0.71,0.75,0.01,,,,80.0,,0.11,,,332.672,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 162020 b,TIC 367987991,8.4282,0.08,1.11,3127.4472,9.84,0.28,0,4723.0,0.75,0.42,-0.1,4.31,,,71.0,0.03,,0.18,,-27.328,267.6599252,-40.3184646,-6.72629,350.73899,30.8248,32.4128,8.1181,5.6e-05,,0.0,,,0.002,0.0,NASA,,,,,,,,,,,,
HD 163296 b,,,105.0,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 163296 b,,,105.0,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 163296 c,,,160.0,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 163296 c,,,160.0,,,,,,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 163607 b,TIC 232620788,75.2203,0.362,1.24,249.05159,0.7836,0.7441,0,5522.0,1.76,1.12,0.21,3.97,,,,,0.03,,,79.6,268.4181383,56.3924701,30.17327,84.6144,67.7855,14.7236,7.3311,0.0094,,0.016,,,1.3,0.0071,NASA,,,,,,,,,,,,
HD 163607 b,,75.229,0.36,,,,0.73,,5543.0,1.63,1.09,0.21,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 163607 b,,75.2203,0.362,1.269,,,0.7441,,5522.0,1.76,1.12,0.21,,,,44.0,0.7,0.03,,,79.6,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 163607 b,,75.29,0.359201,,,,0.73,,5543.0,1.69594,1.09,0.21,4.04,,,44.0,0.0550561,0.03,0.06,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
HD 163607 c,TIC 232620788,1272.0,2.39,1.19,699.54383,2.201,0.08,0,5522.0,1.76,1.12,0.21,3.97,,,,,0.03,,,274.0,268.4181383,56.3924701,30.17327,84.6144,67.7855,14.7236,7.3311,4.4,,0.11,,,12.0,0.014,NASA,,,,,,,,,,,,
HD 163607 c,,1272.0,2.39,1.202,,,0.08,,5522.0,1.76,1.12,0.21,,,,44.0,0.7,0.03,,,274.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 163607 c,,1314.0,2.41789,,,,0.12,,5543.0,1.69594,1.09,0.21,4.04,,,44.0,0.0550561,0.03,0.06,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
HD 163607 c,,1314.0,2.42,,,,0.12,,5543.0,1.63,1.09,0.21,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 164428 b,,599.6,1.6,,,,0.29,,4119.0,35.4,1.5,-0.07,,,,40.0,2.9,0.1,,,203.11,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 164509 b,TIC 382764222,280.17,0.87,1.28,140.79869,0.443,0.238,0,5859.0,1.11,1.12,0.2,4.44,,,,0.06,,0.06,,326.0,270.3800811,0.1044685,11.13651,27.26359,53.1119,18.7994,7.536,0.82,,0.051,,,13.0,0.062,NASA,,,,,,,,,,,,
HD 164509 b,,282.4,0.875,,,,0.26,,5922.0,1.06,1.13,0.21,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 164509 b,,282.4,0.875,,,,0.26,,5922.0,1.06,1.13,0.21,,,,44.0,0.03,0.03,,,324.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 164509 b,,282.4,0.877542,,,,0.26,,5922.0,1.05601,1.13,0.21,4.44,,,44.0,0.0363237,0.03,0.06,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
HD 164595 b,,40.0,0.23,,,,0.088,,5790.0,,0.99,-0.04,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 164595 b,,40.0,0.23,,,,0.088,,5790.0,,0.99,-0.04,,,,40.0,,0.08,,,145.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 164595 b,,40.0,0.228139,,,,0.088,,5790.0,,0.99,-0.04,4.44,,,40.0,,0.08,0.05,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
HD 164595 b,TIC 158917706,40.0,0.23,0.371,16.14,0.05078,0.088,0,5790.0,1.02,0.99,-0.04,4.44,,,40.0,0.02,0.08,0.05,,145.0,270.1613723,29.5726698,23.27765,55.46741,28.254,35.3642,6.4618,0.24,,,,,160.0,0.12,NASA,,,,,,,,,,,,
HD 164604 b,,606.4,1.30299,,,,0.24,,,,0.8,-0.18,,,,,,,,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
HD 164604 b,TIC 406317882,641.472,1.331,1.19,635.0,1.99792,0.35,0,4684.0,0.77,0.77,-0.18,4.62,,,135.0,0.01,,0.11,,65.4,270.7787177,-28.5608343,-3.1186,2.26337,39.3633,25.3757,8.6834,10.129,,0.029,,,15.11,0.1,NASA,,,,,,,,,,,,
HD 164604 b,,641.47,1.331,,,,0.35,,4684.0,,0.77,-0.18,,,,135.0,,,,,65.4,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 164604 b,,606.4,1.13,,,,0.24,,5150.0,,0.8,-0.18,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 164922 b,TIC 159019691,1207.0,2.16,1.19,116.0,0.36497,0.08,0,5390.0,0.95,0.93,0.18,4.46,,,30.0,0.01,0.08,0.13,,116.0,270.6304652,26.3104077,21.78318,52.29591,22.0016,45.4222,6.2808,4.0,,0.03,,,48.0,0.06,NASA,,,,,,,,,,,,
HD 164922 b,,1155.0,2.10091,,,,0.05,,5385.36,0.899472,0.927,0.170081,4.50576,,,44.0,0.0325952,0.03,0.06,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
HD 164922 b,,1207.0,2.16,,,,0.08,,5293.0,0.999,0.874,0.16,,,,32.0,0.017,0.05,,,114.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 164922 b,,1207.0,2.16,1.19,,,0.08,,5393.43,1.0,0.92,0.197,,,,,,,,,116.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 164922 c,,75.74,0.341,,,,0.12,,5293.0,0.999,0.874,0.16,,,,32.0,0.017,0.05,,,330.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 164922 c,TIC 159019691,75.74,0.341,0.327,13.0,0.0409,0.12,0,5390.0,0.95,0.93,0.18,4.46,,,30.0,0.01,0.08,0.13,,-29.0,270.6304652,26.3104077,21.78318,52.29591,22.0016,45.4222,6.2808,0.06,,0.004,,,110.0,0.11,NASA,,,,,,,,,,,,
HD 164922 c,,75.74,0.341,0.327,,,0.12,,5393.43,1.0,0.92,0.197,,,,,,,,,-29.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 164922 c,,75.765,0.335039,,,,0.22,,5293.0,0.999,0.874,0.16,4.387,,,32.0,0.017,0.05,0.014,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
HD 164922 d,,12.458,0.103,0.163,,,0.12,,5393.43,1.0,0.92,0.197,,,,,,,,,-48.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 164922 d,,12.458,0.12292,,,,0.086,,5293.0,0.999,0.874,0.16,,,,32.0,0.017,0.05,,,311.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 164922 d,TIC 159019691,12.458,0.103,0.163,4.0,0.01259,0.12,0,5390.0,0.95,0.93,0.18,4.46,,,30.0,0.01,0.08,0.13,,-48.0,270.6304652,26.3104077,21.78318,52.29591,22.0016,45.4222,6.2808,0.003,,0.001,,,130.0,0.13,NASA,,,,,,,,,,,,
HD 164922 e,TIC 159019691,41.763,0.2292,0.288,10.52012,0.0331,0.086,0,5393.43,1.0,0.92,0.197,4.4,,,68.33,0.02,0.057,0.03,,-17.1887,270.6304652,26.3104077,21.78318,52.29591,22.0016,45.4222,6.2808,0.012,,0.0026,,,74.4845,0.083,NASA,,,,,,,,,,,,
HD 164922 e,,41.763,0.2292,,,,0.086,,5293.0,0.999,0.874,0.16,,,,32.0,0.017,0.05,,,343.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 164922 e,,41.763,0.2292,0.288,,,0.086,,5393.43,1.0,0.92,0.197,,,,,,,,,-17.1887,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 165155 b,,434.5,1.13,,,,0.2,,5426.0,0.95,1.02,0.09,,,,100.0,0.11,0.1,,,211.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 165155 b,,434.5,1.13113,,,,0.2,,5426.0,0.95,1.02,0.09,4.49,,,100.0,0.11,0.1,0.11,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
HD 165155 b,TIC 408229533,434.5,1.13,1.18,918.5287,2.89,0.2,0,5426.0,0.95,1.02,0.09,4.49,,,100.0,0.11,0.1,0.11,,211.99,271.4893395,-29.9172536,-4.32098,1.3791,63.3574,15.7548,8.7177,2.1,,0.04,,,11.46,0.03,NASA,,,,,,,,,,,,
HD 165155 b,,434.5,1.13,,,,0.2,,5426.0,0.95,1.02,0.09,,,,,,,,,211.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 166724 b,,5144.0,5.42,,,,0.734,,5150.0,,0.81,-0.09,,,,,,,,,202.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 166724 b,,8100.0,5.42,,,,0.734,,,,,,,,,,,,,,202.3,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 166724 b,TIC 87989721,5144.0,5.42,1.16,1121.89,3.53,0.734,0,5127.0,0.8,0.81,-0.09,4.43,,,52.0,0.01,0.03,0.08,,202.3,273.4988604,-42.5757218,-11.64851,350.82178,45.1342,22.1273,8.5228,705.0,,0.43,,,3.6,0.02,NASA,,,,,,,,,,,,
HD 167042 b,,420.77,1.29371,,,,0.089,,5028.0,4.21565,1.63,0.03,3.35,,,53.0,0.135453,0.04,0.18,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
HD 167042 b,,416.1,1.3,,,,0.03,,5020.0,4.3,1.64,0.05,,,,75.0,0.07,0.06,,,34.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 167042 b,,420.77,1.32,,,,0.089,,5020.0,4.3,1.72,0.05,,,,,,,,,85.7,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 167042 b,TIC 353988778,420.77,1.32,1.2,540.29,1.7,0.089,0,5010.0,4.3,1.72,0.05,3.47,,,75.0,0.07,0.06,0.08,,85.7,272.6326268,54.2876184,27.54691,82.549,49.6633,20.1069,5.1576,3.48,,0.03,,,35.4,0.028,NASA,,,,,,,,,,,,
HD 168009 b,TIC 416117806,15.1479,0.1192,0.272,9.53485,0.03,0.12,0,5778.33,1.21,0.99,0.018,4.27,,,94.42,0.03,0.061,0.03,,13.178,273.8847918,45.2088229,24.92402,72.81394,23.3032,42.8836,5.7155,0.0035,,0.0017,,,45.8366,0.11,NASA,,,,,,,,,,,,
HD 168443 b,,58.11247,0.29385,,,,0.52883,,5491.0,1.58859,0.995,0.04,4.07,,,44.0,0.0517773,0.03,0.06,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
HD 168443 b,,58.11247,0.2931,,,,0.52883,,5591.0,1.51,0.995,0.04,,2455621.637,,44.0,0.06,0.03,,,172.923,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 168443 b,TIC 16465196,58.11247,0.2931,1.13,2434.157,7.659,0.52883,0,5491.0,1.51,0.99,0.04,4.07,,,44.0,0.06,0.03,0.06,,172.923,275.0159879,-9.5966905,2.50674,20.81376,39.6245,25.2084,6.2674,0.0003,,0.00181,,,0.139,0.00103,NASA,,,,,,,,,,,,
HD 168443 b,,58.11247,0.2931,,,,0.52883,,5591.0,1.51,0.995,0.04,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 168443 c,,1749.83,2.85281,,,,0.2113,,5491.0,1.58859,0.995,0.04,4.07,,,44.0,0.0517773,0.03,0.06,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
HD 168443 c,,1749.83,2.8373,,,,0.2113,,5591.0,1.51,0.995,0.04,,,,,,,,35.7,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 168443 c,,1749.83,2.8373,,,,0.2113,,5591.0,1.51,0.995,0.04,,2455599.9,,44.0,0.06,0.03,,35.7,64.87,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 168443 c,TIC 16465196,1749.83,2.8373,1.09,5464.221,17.193,0.2113,0,5491.0,1.51,0.99,0.04,4.07,,,44.0,0.06,0.03,0.06,,64.87,275.0159879,-9.5966905,2.50674,20.81376,39.6245,25.2084,6.2674,0.57,,0.018,,,0.5113,0.00171,NASA,,,,,,,,,,,,
HD 168746 b,TIC 18097734,6.404,0.07,0.993,85.8141,0.27,0.11,0,5570.0,1.09,1.07,-0.08,4.39,,,12.0,0.02,,0.02,,16.3,275.4573269,-11.9229757,1.03031,18.96358,41.5681,24.0282,7.3158,0.0014,,0.0,,,20.88,0.08,NASA,,,,,,,,,,,,
HD 168746 b,,6.403,0.065,,,,0.081,,5610.0,1.12,0.88,-0.06,,,,30.0,,0.05,,,16.3,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 168746 b,,6.404,0.0655505,,,,0.107,,5563.62,0.888361,0.916,-0.0775105,4.51838,,,44.0,0.0323351,0.03,0.06,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
HD 168746 b,,6.403,0.065,,,,0.081,,5610.0,1.12,0.88,-0.06,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 169142 b,,,36.4,,,,,,7650.0,1.6,1.65,,,,,150.0,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 169830 b,,225.62,0.813279,,,,0.31,,6221.43,1.80318,1.407,0.152981,4.05709,,,44.0,0.0583509,0.03,0.06,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
HD 169830 b,,225.62,0.81,,,,0.31,,6266.0,1.84,1.4,0.21,,,,,,,,,148.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 169830 b,,225.62,0.81,,,,0.31,,6300.0,1.84,1.41,0.21,,,,,,,,,148.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 169830 b,TIC 53134037,225.62,0.81,1.18,915.31,2.88,0.31,0,6299.0,1.2,1.4,0.21,4.1,,,,,,,,148.0,276.9561859,-29.8167919,-8.4711,3.68683,37.6048,26.5642,5.4149,0.22,,,,,2.0,0.01,NASA,,,,,,,,,,,,
HD 169830 c,TIC 53134037,2102.0,3.6,1.16,1283.98,4.04,0.33,0,6299.0,1.97,1.4,0.21,4.1,,,,0.03,,,,252.0,276.9561859,-29.8167919,-8.4711,3.68683,37.6048,26.5642,5.4149,264.0,,,,,8.0,0.02,NASA,,,,,,,,,,,,
HD 169830 c,,2102.0,3.6,,,,0.33,,6266.0,1.84,1.4,0.21,,,,,,,,,252.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 169830 c,,2102.0,3.60184,,,,0.33,,6221.43,1.80318,1.407,0.152981,4.05709,,,44.0,0.0583509,0.03,0.06,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
HD 169830 c,,1834.3,3.29,,,,0.0,,6300.0,1.84,1.41,0.21,,,,,,,,,95.7,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 170469 b,,1145.0,2.24,,,,0.11,,5810.0,1.22,1.14,0.3,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 170469 b,,1145.0,2.24,,,,0.11,,5810.0,1.22,1.14,0.3,,,,44.0,0.07,0.03,,,34.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 170469 b,,1145.0,2.23538,,,,0.11,,5810.0,1.22117,1.136,0.3,4.32,,,44.0,0.0408713,0.03,0.06,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
HD 170469 b,TIC 320362897,1145.0,2.24,1.25,209.7678,0.66,0.11,0,5842.0,1.24,1.1,0.29,4.3,,,28.0,0.02,,0.03,,34.0,277.2955423,11.6954244,10.19103,40.94007,60.178,16.5886,7.6151,18.0,,0.05,,,19.0,0.08,NASA,,,,,,,,,,,,
HD 171028 b,,550.0,1.31895,,,,0.59,,5671.0,2.14418,1.01,-0.48,3.84,,,16.0,0.0687191,0.01,0.03,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
HD 171028 b,,550.0,1.32,,,,0.59,,5663.0,1.95,0.99,-0.49,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 171028 b,,550.0,1.32,,,,0.59,,5663.0,1.95,0.99,-0.49,,,,20.0,0.26,0.02,,,304.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 171028 b,TIC 321030607,550.0,1.32,1.18,832.7146,2.62,0.59,0,5671.0,2.47,1.53,-0.48,3.84,,,16.0,0.07,,0.03,,304.0,278.0643694,6.9456827,7.41135,36.96748,111.659,8.92738,7.64925,3.0,,0.03,,,1.0,0.01,NASA,,,,,,,,,,,,
HD 171238 b,,1523.0,2.54268,,,,0.4,,5467.0,1.05059,0.943,0.17,4.39,,,55.0,0.0462168,0.07,0.14,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
HD 171238 b,TIC 228217280,1532.0,2.57,1.18,864.4976,2.72,0.234,0,5440.0,1.01,0.96,0.2,4.43,,,,0.07,,0.04,,97.0,278.6818389,-28.0727849,-9.05461,5.94504,44.8113,22.2871,7.9202,12.0,,0.16,,,11.0,0.028,NASA,,,,,,,,,,,,
HD 171238 b,,1523.0,2.54,,,,0.4,,5467.0,,0.943,0.17,,,,55.0,,0.007,,,47.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 171238 b,,1523.0,2.54,,,,0.4,,5467.0,,0.943,0.17,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 173416 b,TIC 157951225,323.6,1.16,1.18,858.1,2.7,0.21,0,4683.0,13.5,2.0,-0.22,2.48,,,100.0,0.9,0.09,0.1,,254.0,280.9005676,36.556857,17.21933,65.74238,132.184,7.53665,5.14422,2.2,,0.06,,,11.0,0.04,NASA,,,,,,,,,,,,
HD 173416 b,,323.6,1.16,,,,0.21,,4683.0,13.5,2.0,,,,,100.0,0.9,,,,254.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 173416 b,,323.6,1.16,,,,0.21,,4683.0,13.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 173416 b,,323.6,1.16272,,,,0.21,,4683.0,14.3919,2.0,-0.22,2.48,,,100.0,0.460543,0.09,0.1,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
HD 175167 b,TIC 467966544,1290.0,2.4,1.12,2850.9351,8.97,0.54,0,5635.0,1.75,1.37,0.28,4.09,,,28.0,0.04,,0.09,,342.0,285.0033888,-69.9450664,-26.08807,325.36189,71.0863,14.0386,7.3506,22.0,,0.05,,,9.0,0.09,NASA,,,,,,,,,,,,
HD 175167 b,,1290.0,2.4,,,,0.54,,,,1.102,0.19,,,,,,,,,342.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 175167 b,,1290.0,2.4,,,,0.54,,5940.0,,1.102,0.19,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 175167 b,,1290.0,2.40085,,,,0.54,,,,1.102,0.19,,,,,,,,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
HD 175370 b,,349.5,0.98,,,,0.22,,4301.0,23.5,1.02,-0.52,,,,,,,,,162.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 175370 b,,349.5,0.98,,,,0.22,,4301.0,23.5,1.02,-0.52,,,,43.0,3.4,0.07,,,162.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 175541 b,TIC 227196910,298.43,0.975,1.26,190.06234,0.598,0.11,0,5013.0,4.19,1.39,-0.07,3.33,,,,,0.04,,,129.0,283.9203211,4.2649344,1.00153,37.21115,129.603,7.68775,7.19976,0.45,,0.087,,,28.0,0.049,NASA,,,,,,,,,,,,
HD 175541 b,,297.3,1.03,,,,0.33,,5060.0,3.85,1.65,-0.07,,,,44.0,,0.04,,,183.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 175541 b,,297.3,0.961227,,,,0.33,,5111.0,3.07498,1.34,-0.11,3.56,,,38.0,0.0986723,0.03,0.08,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
HD 175541 b,,297.3,1.03,,,,0.33,,5060.0,3.85,1.65,-0.07,,,,,,,,,,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 175607 b,TIC 382073690,29.01,,0.263,8.98,0.02825,0.11,0,5392.0,0.7,0.71,-0.62,4.64,,,17.0,0.01,0.01,0.03,,142.0,285.2742901,-66.1943379,-25.61517,329.49816,40.3303,24.7663,7.9396,0.02,,,,,52.0,0.09,NASA,,,,,,,,,,,,
HD 175607 b,,29.01,,,,,0.11,,5392.0,0.71,0.71,-0.62,,,,17.0,0.03,0.01,,,142.2,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 175607 b,,8.98,,,,,0.11,,5392.0,0.7,0.71,-0.62,,,,,,,,,142.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 175607 b,,29.03,0.164916,,,,0.16,,5392.0,0.7,0.71,-0.62,4.64,,,17.0,0.01,0.01,0.03,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
HD 175607 c,,1336.61,,,,,0.42,,5392.0,0.7,0.71,-0.62,,,,,,,,,14.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 176051 b,,1016.0,1.76,,,,0.0,,,,0.9,,,,,,,,,,,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 176051 b,,1016.0,1.76,,,,0.0,,,,0.71,,,,,,,,,115.8,0.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 176986 b,,6.4898,0.0629202,,,,0.066,,4931.0,0.782,0.789,0.03,4.44,,,77.0,0.035,0.05,0.17,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
HD 176986 b,,6.4898,0.06296,,,,0.066,,4931.0,0.782,0.789,0.03,,,,77.0,0.035,0.05,,,249.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 176986 b,,6.4898,0.06296,,,,0.066,,4931.0,0.78,0.79,0.03,,,,,,,,,249.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 176986 b,TIC 39554091,6.4898,0.06296,0.202,5.74,0.01806,0.066,0,4931.0,0.78,0.79,0.03,4.44,,,77.0,0.04,0.05,0.17,,249.0,285.7739138,-11.044941,-7.57187,24.36018,27.7843,35.9627,7.5672,0.00086,,0.00013,,,91.0,0.066,NASA,,,,,,,,,,,,
HD 176986 c,,16.8191,0.11878,,,,0.111,,4931.0,0.78,0.79,0.03,,,,,,,,,270.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 176986 c,,16.8191,0.118715,,,,0.111,,4931.0,0.782,0.789,0.03,4.44,,,77.0,0.035,0.05,0.17,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
HD 176986 c,TIC 39554091,16.8191,0.11878,0.266,9.18,0.02888,0.111,0,4931.0,0.78,0.79,0.03,4.44,,,77.0,0.04,0.05,0.17,,270.0,285.7739138,-11.044941,-7.57187,24.36018,27.7843,35.9627,7.5672,0.0044,,0.00025,,,130.0,0.08,NASA,,,,,,,,,,,,
HD 176986 c,,16.8191,0.11878,,,,0.111,,4931.0,0.782,0.789,0.03,,,,77.0,0.035,0.05,,,270.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 177565 b,TIC 254147274,44.505,0.246,0.357,15.1,0.04751,0.0593,0,5627.0,0.97,1.0,0.081,4.39,,,19.0,0.01,0.007,0.03,,309.97,286.7175787,-37.8122394,-19.07842,359.44857,16.9179,59.0802,5.5252,0.586,,0.019,,,45.84,0.1717,NASA,,,,,,,,,,,,
HD 177565 b,,44.505,0.246,,,,0.0593,,,,1.0,,,,,,,,,,309.97,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 177830 A b,,406.6,1.2218,,,,0.009,,4948.0,2.99,1.47,0.55,,,,,0.39,0.03,,,85.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 177830 A b,,406.6,1.2218,,,,0.009,,,2.99,1.47,0.55,,,,,,,,,85.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 177830 A c,,110.9,0.5137,,,,0.3,,,2.99,1.47,0.55,,,,,,,,,110.0,,,,,,,,,,,,,,,OEC,,,,,,,,,,,,
HD 177830 A c,,110.9,0.5137,,,,0.3495,,4948.0,2.99,1.47,0.55,,,,,0.39,0.03,,,110.0,,,,,,,,,,,,,,,EU,,,,,,,,,,,,
HD 177830 b,,410.1,1.13872,,,,0.096,,4752.0,3.99397,1.17,0.3,3.37,,,79.0,0.127817,0.05,0.02,,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
