Exoplanet,TIC ID,Period,Semi-Major Axis,Radius (J),Mass (E),Mass (J),Eccentricity,TTV Flag,Temperature (Star),Radius (Star),Mass (Star),Metallicity (Star),Logg (Star),Transit Mid Point,Transit Duration,Temperature Error (Star),Radius Error (Star),Metallicity Error (Star),Logg Error,Inclination,Periastron,Right Ascension,Declination,Galactic Lattitude,Galactic Longitude,Distance (pc),Parallax (mas),TESS Magnitude,Period Error,Transit Mid Point Error,Semi Major Axis Error,Planet Radius Error (J),Inclination Error,Periastron Error,Eccentricity Error,Archive,Transits,Date,Unbinned Sigma,Binned Sigma,Transit Depth,Sensitivity,Binned Sensitivity,Archive Used,Observation Depth,Observation Sensitivity,Binned Observation Sensitivity,Total Cadences
KOI 4602.01,,2.85855049,,0.1097334387068073,,,0.0,,5441.0,0.964,0.881,0.08,4.415,14965.28415,,76.0,0.109,0.15,0.108,69.56,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4603.01,,15.9513866,,0.1043805880381826,,,0.0,,6451.0,1.168,1.181,-0.08,4.375,14979.45425,,144.0,0.409,0.25,0.07,89.79,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4605.01,,7.7859111,,0.0606656409110805,,,0.0,,6045.0,0.954,0.994,-0.18,4.479,14970.8734,,162.0,0.305,0.3,0.054,83.26,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4613.01,,1.962282625,,0.0722634840264341,,,0.0,,5726.0,0.979,0.915,-0.1,4.418,14964.53585,,170.0,0.27,0.3,0.101,89.06,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4614.01,,6.4546845,,0.1231155653783692,,,0.0,,6474.0,1.362,1.185,-0.16,4.243,14968.5436,,162.0,0.428,0.25,0.148,81.61,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4622.02,,4.50158249,,0.0651263498016011,,,0.0,,4339.0,0.553,0.573,-0.58,4.711,14967.1153,,78.0,0.031,0.15,0.02,89.95,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4625.01,,2.440839436,,1.8993698455836816,,,0.0,,4803.0,0.698,0.752,-0.08,4.623,14966.8407,,170.0,0.074,0.3,0.032,75.89,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4626.01,,91.95723,,0.2373097129756972,,,0.0,,5854.0,1.528,1.107,0.16,4.114,15016.0248,,79.0,0.238,0.15,0.182,89.99,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4627.01,,7.51731745,,0.1061648715943908,,,0.0,,5525.0,0.923,0.957,0.16,4.488,14970.59704,,74.0,0.112,0.15,0.045,89.35,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4630.01,,44.6966177,,0.2194668774136147,,,0.0,,5929.0,1.518,1.116,0.12,4.123,14988.6611,,80.0,0.279,0.15,0.182,89.3,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4632.01,,40.0691482,,1.1820878559879655,,,0.0,,5485.0,0.762,0.796,-0.38,4.575,14976.73713,,191.0,0.149,0.35,0.051,87.81,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4633.01,,11.6933447,,0.099919879147662,,,0.0,,6049.0,1.354,1.189,0.18,4.248,14975.6574,,72.0,0.251,0.15,0.125,88.43,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4634.01,,4.02745396,,0.0874298942542042,,,0.0,,6174.0,1.041,0.987,-0.28,4.398,14966.12194,,175.0,0.326,0.3,0.105,89.22,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4636.01,,122.749053,,0.5468829099778286,,,0.0,,5619.0,0.976,1.069,0.44,4.488,15003.9953,,180.0,0.281,0.05,0.048,88.55,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4637.01,,4.37992345,,0.0722634840264341,,,0.0,,6311.0,1.918,1.324,-0.12,3.993,14966.99121,,76.0,0.069,0.15,0.016,81.19,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4643.01,,5.59346375,,0.1275762742688898,,,0.0,,5874.0,0.933,1.001,-0.06,4.498,14964.50752,,164.0,0.297,0.25,0.052,89.83,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4644.01,,3.44928111,,0.1097334387068073,,,0.0,,5119.0,0.781,0.879,0.14,4.591,14966.38221,,154.0,0.103,0.25,0.024,88.08,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4647.01,,37.9043889,,0.1757519302865126,,,0.0,,5303.0,1.964,1.042,-0.04,3.87,14996.7386,,175.0,0.773,0.3,0.63,88.78,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4647.02,,12.008552,,0.185565489845658,,,0.0,,5303.0,1.964,1.042,-0.04,3.87,14974.7017,,175.0,0.773,0.3,0.63,84.33,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4649.01,,3.38419892,,0.1070570133724949,,,0.0,,5613.0,0.795,0.888,-0.26,4.581,14964.9355,,152.0,0.182,0.3,0.038,89.42,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4651.01,,1.19260017,,0.0686949169140176,,,0.0,,5600.0,1.013,0.837,-0.18,4.349,14965.66994,,169.0,0.29,0.3,0.171,89.86,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4653.01,,19.9778599,,0.0954591702571413,,,0.0,,6392.0,1.162,1.232,0.07,4.399,14968.165,,153.0,0.35,0.25,0.065,89.61,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4655.01,,17.543847,,0.1025963044819743,,,0.0,,5957.0,0.791,0.865,-0.6,4.579,14971.9151,,159.0,0.206,0.3,0.044,88.23,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4656.01,,3.8183717,,0.1240077071564733,,,0.0,,6738.0,1.692,1.351,-0.18,4.109,14966.90812,,189.0,0.485,0.25,0.209,80.73,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4657.01,,7.57600886,,0.0481756560176227,,,0.0,,5361.0,0.774,0.848,-0.16,4.588,14968.6293,,159.0,0.133,0.3,0.038,89.08,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4657.02,,10.4314847,,0.0686949169140176,,,0.0,,5361.0,0.774,0.848,-0.16,4.588,14968.54229,,159.0,0.133,0.3,0.038,85.83,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4659.01,,41.8681996,,0.1115177222630156,,,0.0,,5852.0,0.837,0.928,-0.3,4.559,14979.9767,,140.0,0.223,0.3,0.035,87.73,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4661.01,,8.61742738,,0.0901063195885166,,,0.0,,5009.0,0.84,0.797,0.16,4.491,14966.50863,,74.0,0.032,0.15,0.077,89.86,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4663.01,,5.65690281,,0.0660184915797052,,,0.0,,5687.0,1.32,0.986,0.1,4.191,14964.5761,,77.0,0.218,0.15,0.182,89.93,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4666.01,,12.4019263,,0.1329291249375146,,,0.0,,5555.0,0.832,0.824,-0.28,4.514,14974.1769,,167.0,0.182,0.3,0.074,84.69,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4667.01,,152.823896,,0.2185747356355106,,,0.0,,6452.0,1.137,1.167,-0.12,4.394,14980.5443,,157.0,0.345,0.25,0.067,89.96,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4670.01,,6.80899076,,7.965933936691732,,,0.0,,4992.0,0.854,0.81,0.24,4.483,14965.19078,,208.0,0.832,0.18,0.083,77.92,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4674.01,,4.84350003,,0.0802927600293712,,,0.0,,5762.0,1.056,0.906,-0.14,4.348,14967.81488,,155.0,0.285,0.3,0.158,80.44,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4676.01,,31.183688,,0.2863775107714241,,,0.0,,5947.0,2.407,1.378,0.18,3.814,14988.9588,,196.0,0.62,0.18,0.389,87.66,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4680.01,,54.0812235,,0.1373898338280352,,,0.0,,5757.0,0.762,0.865,-0.5,4.597,14978.2689,,155.0,0.181,0.3,0.036,89.84,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
KOI 4685.01,,0.494247662,,0.1347134084937228,,,0.0,,5763.0,0.998,1.107,0.36,4.484,14964.84441,,180.0,0.26,0.1,0.046,82.87,,,,,,,,,,,,,,,,ORG,,,,,,,,,,,,
